category,institution,city,state,type
HSI,The Chicago School of Professional Psychology at Los Angeles,Los Angeles,CA,Private 4yr
HSI,The College of the Florida Keys,Key West,FL,Public 4yr
AANAPISI & HSI,The University of Texas at Arlington,Arlington,TX,Public 4yr
AANAPISI & HSI,The University of Texas at Austin,Austin,TX,Public 4yr
HSI,The University of Texas at El Paso,El Paso,TX,Public 4yr
HSI,The University of Texas at San Antonio,San Antonio,TX,Public 4yr
HSI,The University of Texas Health Science Center at San Antonio,San Antonio,TX,Public 4yr
HSI,The University of Texas Permian Basin,Odessa,TX,Public 4yr
HSI,The University of Texas Rio Grande Valley,Edinburg,TX,Public 4yr
HBCU,Tougaloo College,Tougaloo,MS,Private 4yr
HSI,Trinity International University-Florida,Miami,FL,Private 4yr
HSI & PBI,Trinity Washington University,Washington,DC,Private 4yr
HSI,Truckee Meadows Community College,Reno,NV,Public 4yr
TCU,Turtle Mountain Community College,Belcourt,ND,Private 4yr
HBCU,Tuskegee University,Tuskegee,AL,Private 4yr
HSI,Union Institute & University,Cincinnati,OH,Private 4yr
TCU,United Tribes Technical College,Bismarck,ND,Private 4yr
HSI,Universal Technology College of Puerto Rico,Aguadilla,PR,Private 4yr
HSI,Universidad Adventista de las Antillas,Mayaguez,PR,Private 4yr
HSI,Universidad Ana G. Mendez-Carolina Campus,Carolina,PR,Private 4yr
HSI,Universidad Ana G. Mendez-Cupey Campus,San Juan,PR,Private 4yr
HSI,Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,Private 4yr
HSI,Universidad Ana G. Mendez-Online Campus,San Juan,PR,Private 4yr
HSI,Universidad Central de Bayamon,BayamÃ_n,PR,Private 4yr
HSI,Universidad Central Del Caribe,Bayamon,PR,Private 4yr
